Phylotype	taxonomy
Streptococcus.parasanguinis	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.parasanguinis
uncultured.Streptococcus.sp..NB4D2	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_environmental.samples
Streptococcus.mitis	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.mitis
Streptococcus.mutans	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.mutans
Streptococcus.pneumoniae	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.pneumoniae
Streptococcus.sanguis	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.sanguinis
Streptococcus.viridans	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.viridans
uncultured.bacterium.OLDB-D1	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_unculturedStreptococcus
uncultured.Leuconostoc.sp..LabS38	Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Leuconostoc_environmental.samples
Weissella.cibaria	Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Weissella_Weissella.cibaria
Weissella.confusa	Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Weissella_Weissella.confusa
uncultured.Leuconostoc.sp..LabF165	Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Leuconostoc_environmental.samples
Alistipes.finegoldii	Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_Alistipes.finegoldii
Alistipes.putredinis	Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_Alistipes.putredinis
Bacteroides.sp..ANH.2438	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.sp..ANH.2438
Bacteroides.sp..CJ44	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.sp..CJ44
Bacteroides.sp..DSM.12148	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.sp..DSM.12148
uncultured.bacterium.adhufec52.25	Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_unculturedAlistipes
uncultured.bacterium.C706	Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_unculturedAlistipes
uncultured.bacterium.D080	Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_unculturedAlistipes
uncultured.bacterium.HuCA7	Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_unculturedAlistipes
uncultured.bacterium.LJ01	Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_unculturedAlistipes
